Name                                    Stmts   Miss  Cover
-----------------------------------------------------------
config/__init__.py                          0      0   100%
config/asgi.py                              4      4     0%
config/settings.py                         27      0   100%
config/urls.py                              3      0   100%
config/wsgi.py                              4      4     0%
courses/__init__.py                         0      0   100%
courses/admin.py                            1      0   100%
courses/apps.py                             4      0   100%
courses/migrations/0001_initial.py          5      0   100%
courses/migrations/0002_initial.py          7      0   100%
courses/migrations/__init__.py              0      0   100%
courses/models.py                          33      3    91%
courses/paginations.py                      7      0   100%
courses/serializers.py                     24      0   100%
courses/tests.py                           89      0   100%
courses/urls.py                             9      0   100%
courses/validators.py                       4      2    50%
courses/views.py                           66      3    95%
manage.py                                  11      2    82%
users/__init__.py                           0      0   100%
users/admin.py                              5      0   100%
users/apps.py                               4      0   100%
users/management/__init__.py                0      0   100%
users/management/commands/__init__.py       0      0   100%
users/management/commands/csu.py           10     10     0%
users/migrations/0001_initial.py            9      0   100%
users/migrations/__init__.py                0      0   100%
users/models.py                            34      2    94%
users/permissions.py                       11      1    91%
users/serializers.py                       10      0   100%
users/tests.py                              1      0   100%
users/urls.py                               7      0   100%
users/views.py                             33      3    91%
-----------------------------------------------------------
TOTAL                                     422     34    92%
